n,p0,phi0,delta,ARL0,ARL1,desv,grafico
100,0.01,0.9,1.1,487.1444943534013,362.92682066779633,-0.254991435037117,CEWMA
100,0.01,0.9,1.2,487.1444943534013,280.0659770612157,-0.425086436760505,CEWMA
100,0.01,0.9,1.3,487.1444943534013,222.57266711892203,-0.543107497469825,CEWMA
100,0.01,0.9,1.5,487.1444943534013,150.89837919600046,-0.690238972327314,CEWMA
100,0.01,0.9,1.7,487.1444943534013,110.09693047456123,-0.773995330439492,CEWMA
100,0.01,0.9,2,514.6461765056459,74.14636484028382,-0.85592749305217,CEWMA
100,0.01,0.9,1.1,370.4,274.1,-0.2599892008639308,CUSUM
100,0.01,0.9,1.2,370.4,211.2,-0.4298056155507559,CUSUM
100,0.01,0.9,1.3,370.4,168.2,-0.5458963282937365,CUSUM
100,0.01,0.9,1.5,370.4,115.3,-0.6887149028077754,CUSUM
100,0.01,0.9,1.7,370.4,85.4,-0.769438444924406,CUSUM
100,0.01,0.9,2,370.4,60.1,-0.837742980561555,CUSUM
100,0.02,0.9,1.1,375.2499275955142,263.97967338021533,-0.296523053124311,CEWMA
100,0.02,0.9,1.2,375.2499275955142,195.9629587344211,-0.477780155774869,CEWMA
100,0.02,0.9,1.3,375.2499275955142,151.93276723244261,-0.595115798673217,CEWMA
100,0.02,0.9,1.5,375.2499275955142,100.90243327901888,-0.731106055301407,CEWMA
100,0.02,0.9,1.7,447.09406240308056,71.77208459433322,-0.839469832794096,CEWMA
100,0.02,0.9,2,526.336664071578,47.28659454207246,-0.910159033618752,CEWMA
100,0.02,0.9,1.1,370.4,252.7,-0.3177645788336933,CUSUM
100,0.02,0.9,1.2,370.4,186.3,-0.49703023758099346,CUSUM
100,0.02,0.9,1.3,370.4,145.3,-0.6077213822894167,CUSUM
100,0.02,0.9,1.5,370.4,99.2,-0.7321814254859611,CUSUM
100,0.02,0.9,1.7,370.4,74.8,-0.7980561555075594,CUSUM
100,0.02,0.9,2,370.4,54.6,-0.8525917926565874,CUSUM
100,0.05,0.9,1.1,381.0213300590989,226.9612143964845,-0.404334622522887,CEWMA
100,0.05,0.9,1.2,381.0213300590989,148.0300824642483,-0.611491350257772,CEWMA
100,0.05,0.9,1.3,381.0213300590989,103.74606263008528,-0.727715866683911,CEWMA
100,0.05,0.9,1.5,381.02133005909945,59.846877116573076,-0.84293037582098,CEWMA
100,0.05,0.9,1.7,456.65045629601786,39.21199360333797,-0.9141312724805,CEWMA
100,0.05,0.9,2,456.65045629601786,24.50705967854895,-0.946333000787231,CEWMA
100,0.05,0.9,1.1,370.4,224.8,-0.39308855291576666,CUSUM
100,0.05,0.9,1.2,370.4,149.0,-0.5977321814254859,CUSUM
100,0.05,0.9,1.3,370.4,105.7,-0.7146328293736501,CUSUM
100,0.05,0.9,1.5,370.4,61.5,-0.833963282937365,CUSUM
100,0.05,0.9,1.7,370.4,40.8,-0.8898488120950324,CUSUM
100,0.05,0.9,2,370.4,25.7,-0.9306155507559396,CUSUM
100,0.01,0.8,1.1,751.0747134379602,506.3497633284451,-0.32583303063062,CEWMA
100,0.01,0.8,1.2,751.0747134379602,358.3678882283443,-0.522859867578345,CEWMA
100,0.01,0.8,1.3,751.0747134379562,264.21711815021723,-0.648214600461258,CEWMA
100,0.01,0.8,1.5,751.0747134379562,158.57512675868168,-0.788869038031086,CEWMA
100,0.01,0.8,1.7,751.0747134379602,105.45808898725629,-0.859590414774405,CEWMA
100,0.01,0.8,2,751.0747134379602,65.65495695119185,-0.912585318375766,CEWMA
100,0.01,0.8,1.1,370.5,241.1,-0.3492577597840756,CUSUM
100,0.01,0.8,1.2,370.5,172.5,-0.5344129554655871,CUSUM
100,0.01,0.8,1.3,370.5,131.9,-0.6439946018893388,CUSUM
100,0.01,0.8,1.5,370.5,88.1,-0.76221322537112,CUSUM
100,0.01,0.8,1.7,370.5,65.7,-0.822672064777328,CUSUM
100,0.01,0.8,2,370.5,47.5,-0.8717948717948718,CUSUM
100,0.02,0.8,1.1,416.0004399844849,261.8758409511308,-0.370491432747288,CEWMA
100,0.02,0.8,1.2,416.00043998448206,178.62396569429998,-0.570615921221229,CEWMA
100,0.02,0.8,1.3,426.1902549392679,129.3990866426171,-0.696381873721968,CEWMA
100,0.02,0.8,1.5,426.19025493926534,75.01191249682768,-0.823994303887785,CEWMA
100,0.02,0.8,1.7,426.1902549392679,49.472961238412886,-0.883918131245251,CEWMA
100,0.02,0.8,2,426.19025493926534,31.18010172703436,-0.926839946794471,CEWMA
100,0.02,0.8,1.1,370.4,225.6,-0.3909287257019438,CUSUM
100,0.02,0.8,1.2,370.4,151.3,-0.5915226781857451,CUSUM
100,0.02,0.8,1.3,370.4,109.1,-0.7054535637149028,CUSUM
100,0.02,0.8,1.5,370.4,66.3,-0.8210043196544276,CUSUM
100,0.02,0.8,1.7,370.4,46.1,-0.8755399568034556,CUSUM
100,0.02,0.8,2,370.4,31.1,-0.9160367170626349,CUSUM
100,0.05,0.8,1.1,372.8325310526024,197.51319120691247,-0.470236165687361,CEWMA
100,0.05,0.8,1.2,372.897051090001,116.71279346818393,-0.687010682634723,CEWMA
100,0.05,0.8,1.3,372.897051090001,74.3808030608329,-0.800532605866918,CEWMA
100,0.05,0.8,1.5,372.897051090001,36.6632437373885,-0.901679984783415,CEWMA
100,0.05,0.8,1.7,372.897051090001,21.914418041227936,-0.941231988890309,CEWMA
100,0.05,0.8,2,372.897051090001,12.861901275940358,-0.965508171120302,CEWMA
100,0.05,0.8,1.1,371.5,200.3,-0.4608344549125168,CUSUM
100,0.05,0.8,1.2,371.5,122.4,-0.6705248990578735,CUSUM
100,0.05,0.8,1.3,371.5,82.1,-0.7790040376850605,CUSUM
100,0.05,0.8,1.5,371.5,45.2,-0.8783310901749664,CUSUM
100,0.05,0.8,1.7,371.5,29.6,-0.9203230148048451,CUSUM
100,0.05,0.8,2,371.5,18.9,-0.9491251682368775,CUSUM
100,0.01,0.7,1.1,377.69094310444217,255.86182798113066,-0.322562977343151,CEWMA
100,0.01,0.7,1.2,377.6909431044404,182.46435972630434,-0.516895061802293,CEWMA
100,0.01,0.7,1.3,377.6909431044404,135.83386762881682,-0.640357095904056,CEWMA
100,0.01,0.7,1.5,377.69094310444217,83.44157608660663,-0.779074458601638,CEWMA
100,0.01,0.7,1.7,377.6909431044404,56.92181849131434,-0.849289956429868,CEWMA
100,0.01,0.7,2,377.69094310444217,36.778562699662444,-0.902622598261531,CEWMA
100,0.01,0.7,1.1,370.4,223.2,-0.39740820734341253,CUSUM
100,0.01,0.7,1.2,370.4,149.9,-0.5953023758099352,CUSUM
100,0.01,0.7,1.3,370.4,109.1,-0.7054535637149028,CUSUM
100,0.01,0.7,1.5,370.4,68.0,-0.816414686825054,CUSUM
100,0.01,0.7,1.7,370.4,48.5,-0.869060475161987,CUSUM
100,0.01,0.7,2,370.4,33.7,-0.9090172786177106,CUSUM
100,0.02,0.7,1.1,473.00956652235396,275.6399278823081,-0.417263524057538,CEWMA
100,0.02,0.7,1.2,473.00956652235396,174.87969237586984,-0.630282969408811,CEWMA
100,0.02,0.7,1.3,473.00956652235544,118.96823942336061,-0.748486610327916,CEWMA
100,0.02,0.7,1.5,473.00956652235396,64.73178758844874,-0.863149094289217,CEWMA
100,0.02,0.7,1.7,469.10450972104877,41.066271537208536,-0.91245816084431,CEWMA
100,0.02,0.7,2,469.10450972104877,23.49060539944471,-0.949924579890708,CEWMA
100,0.02,0.7,1.1,370.4,201.5,-0.4559935205183585,CUSUM
100,0.02,0.7,1.2,370.4,127.7,-0.6552375809935205,CUSUM
100,0.02,0.7,1.3,370.4,89.6,-0.7580993520518358,CUSUM
100,0.02,0.7,1.5,370.4,51.4,-0.8612311015118791,CUSUM
100,0.02,0.7,1.7,370.4,33.6,-0.9092872570194384,CUSUM
100,0.02,0.7,2,370.4,21.3,-0.9424946004319654,CUSUM
100,0.05,0.7,1.1,396.93504539989334,193.92239736784293,-0.511450551884439,CEWMA
100,0.05,0.7,1.2,396.93504539989334,107.25429666059617,-0.729793834271946,CEWMA
100,0.05,0.7,1.3,396.93504539989357,65.63609112461671,-0.834642740959061,CEWMA
100,0.05,0.7,1.5,402.501062158307,30.42167481479064,-0.924418398670397,CEWMA
100,0.05,0.7,1.7,402.501062158307,17.079170119242775,-0.957567391182373,CEWMA
100,0.05,0.7,2,402.501062158307,9.368612548910555,-0.976724005400945,CEWMA
100,0.05,0.7,1.1,371.3,179.9,-0.5154861298141664,CUSUM
100,0.05,0.7,1.2,371.3,102.3,-0.7244815513062214,CUSUM
100,0.05,0.7,1.3,371.3,65.3,-0.8241314301104228,CUSUM
100,0.05,0.7,1.5,371.3,33.9,-0.9086991650956101,CUSUM
100,0.05,0.7,1.7,371.3,21.5,-0.9420953406948559,CUSUM
100,0.05,0.7,2,371.3,13.5,-0.9636412604363048,CUSUM
200,0.01,0.9,1.1,436.70953589578676,298.4308238693951,-0.316637720636788,CEWMA
200,0.01,0.9,1.2,436.70953589578676,215.0888294740476,-0.507478514219174,CEWMA
200,0.01,0.9,1.3,436.70953589578676,161.98795158837365,-0.629071640819335,CEWMA
200,0.01,0.9,1.5,436.70953589578676,101.93874091545449,-0.766575417900239,CEWMA
200,0.01,0.9,1.7,436.70953589578676,71.21116501428098,-0.836937004665558,CEWMA
200,0.01,0.9,2,511.60971366085016,47.01613187383174,-0.908101565278334,CEWMA
200,0.01,0.9,1.1,370.4,252.7,-0.3177645788336933,CUSUM
