n,p0,phi0,delta,tau,gx,gy,UCL,ARL0,ARL1,desv,t
100,0.01,0.9,1.1,1,1,2,1,487.1444943534013,362.92682066779633,-0.254991435037117,1.9375
100,0.01,0.9,1.1,0.9,1,2,1,487.1444943534013,168.4344362024699,-0.654241322328733,1.984375
100,0.01,0.9,1.1,0.8,1,2,1,487.1444943534013,101.5170913288279,-0.791607844273034,1.96875
100,0.01,0.9,1.1,0.75,1,2,1,487.1444943534013,82.63102646542904,-0.830376762083481,1.875
100,0.01,0.9,1.1,0.5,1,2,1,487.1444943534013,37.57396362617512,-0.922868955593867,1.921875
100,0.01,0.9,1.2,1,1,2,1,487.1444943534013,280.0659770612157,-0.425086436760505,1.9375
100,0.01,0.9,1.2,0.9,1,2,1,487.1444943534013,130.5062165302787,-0.732099576115495,1.9375
100,0.01,0.9,1.2,0.8,1,2,1,487.1444943534013,79.0249270530231,-0.837779287318201,1.953125
100,0.01,0.9,1.2,0.75,1,2,1,487.1444943534013,64.4872048492325,-0.867622018524856,1.9375
100,0.01,0.9,1.2,0.5,1,2,1,487.1444943534013,29.757106628424058,-0.938915235677822,1.90625
100,0.01,0.9,1.3,1,1,2,1,487.1444943534013,222.57266711892203,-0.543107497469825,1.953125
100,0.01,0.9,1.3,0.9,1,2,1,487.1444943534013,104.2199409116772,-0.786059491342479,1.90625
100,0.01,0.9,1.3,0.8,1,2,1,487.1444943534013,63.44455514044538,-0.86976234797715,1.96875
100,0.01,0.9,1.3,0.75,1,2,1,487.1444943534013,51.919260449613596,-0.893421231171816,1.75
100,0.01,0.9,1.3,0.5,1,2,1,487.1444943534013,24.33125841898588,-0.950053303073287,1.734375
100,0.01,0.9,1.5,1,1,2,1,487.1444943534013,150.89837919600046,-0.690238972327314,1.765625
100,0.01,0.9,1.5,0.9,1,2,1,487.1444943534013,71.44863963638585,-0.853331731212068,1.765625
100,0.01,0.9,1.5,0.8,1,2,1,487.1444943534013,44.0028368249251,-0.909671899539106,1.734375
100,0.01,0.9,1.5,0.75,1,2,1,487.1444943534013,36.22466691966122,-0.925638763571077,1.765625
100,0.01,0.9,1.5,0.5,1,2,1,487.1444943534013,17.509551595713184,-0.96405675975266,1.78125
100,0.01,0.9,1.7,1,1,2,1,487.1444943534013,110.09693047456123,-0.773995330439492,1.796875
100,0.01,0.9,1.7,0.9,1,2,1,487.1444943534013,52.747900437219805,-0.891720216386242,1.8125
100,0.01,0.9,1.7,0.8,1,2,1,487.1444943534013,32.86991558827769,-0.932525326737179,1.796875
100,0.01,0.9,1.7,0.75,1,2,1,487.1444943534013,27.21843758891408,-0.944126562232748,1.796875
100,0.01,0.9,1.7,0.5,1,2,1,487.1444943534013,13.538848119428632,-0.972207736562025,1.78125
100,0.01,0.9,2,1,3,2,2,514.6461765056459,74.14636484028382,-0.85592749305217,1.84375
100,0.01,0.9,2,0.9,1,2,1,487.1444943534013,36.93014833967665,-0.924190566109764,1.765625
100,0.01,0.9,2,0.8,1,2,1,487.1444943534013,23.390115979578482,-0.951985260532145,1.734375
100,0.01,0.9,2,0.75,1,2,1,487.1444943534013,19.521289939277573,-0.959927105477834,1.765625
100,0.01,0.9,2,0.5,1,2,1,487.1444943534013,10.071322146563958,-0.979325801146676,1.875
100,0.01,0.8,1.1,1,3,8,1,751.0747134379602,506.3497633284451,-0.32583303063062,2.09375
100,0.01,0.8,1.1,0.9,3,8,1,751.0747134379602,289.08946072158403,-0.615098930173924,2.125
100,0.01,0.8,1.1,0.8,3,8,1,751.0747134379602,182.9377679822378,-0.75643199709805,2.140625
100,0.01,0.8,1.1,0.75,3,8,1,751.0747134379602,149.36896215000488,-0.8011263600311,2.125
100,0.01,0.8,1.1,0.5,1,3,1,751.0747134379562,64.3258956870505,-0.914354864388116,2.078125
100,0.01,0.8,1.2,1,3,8,1,751.0747134379602,358.3678882283443,-0.522859867578345,2.140625
100,0.01,0.8,1.2,0.9,3,8,1,751.0747134379602,205.80801893052455,-0.725981962582042,2.09375
100,0.01,0.8,1.2,0.8,3,8,1,751.0747134379602,131.2036435371733,-0.825312127822006,2.09375
100,0.01,0.8,1.2,0.75,3,8,1,751.0747134379602,107.58391721023742,-0.856760032942949,2.0625
100,0.01,0.8,1.2,0.5,1,3,1,751.0747134379562,47.569117220415066,-0.93666526595913,2.15625
100,0.01,0.8,1.3,1,1,3,1,751.0747134379562,264.21711815021723,-0.648214600461258,2.203125
100,0.01,0.8,1.3,0.9,3,8,1,751.0747134379602,152.89076251189684,-0.796437345344704,2.15625
100,0.01,0.8,1.3,0.8,1,3,1,751.0747134379562,98.33584831351126,-0.869073147379186,2.140625
100,0.01,0.8,1.3,0.75,1,3,1,751.0747134379562,81.02749172849495,-0.892117934103251,2.203125
100,0.01,0.8,1.3,0.5,1,3,1,751.0747134379562,36.85346330644739,-0.950932360460179,2.078125
100,0.01,0.8,1.5,1,1,3,1,751.0747134379562,158.57512675868168,-0.788869038031086,2.15625
100,0.01,0.8,1.5,0.9,3,8,1,751.0747134379602,93.46300870508439,-0.875560970123374,2.109375
100,0.01,0.8,1.5,0.8,1,3,1,751.0747134379562,61.33251305089774,-0.918340330258017,2.1875
100,0.01,0.8,1.5,0.75,1,3,1,751.0747134379562,51.074850400074325,-0.931997643528318,2.125
100,0.01,0.8,1.5,0.5,3,8,1,751.0747134379602,24.58117802427974,-0.96727199360532,2.109375
100,0.01,0.8,1.7,1,3,8,1,751.0747134379602,105.45808898725629,-0.859590414774405,2.21875
100,0.01,0.8,1.7,0.9,3,8,1,751.0747134379602,63.43026851982207,-0.9155473252062,2.1875
100,0.01,0.8,1.7,0.8,3,8,1,751.0747134379602,42.497259238331566,-0.943418066834116,2.09375
100,0.01,0.8,1.7,0.75,3,8,1,751.0747134379602,35.76164326094905,-0.952386037472551,2.109375
100,0.01,0.8,1.7,0.5,1,3,1,751.0747134379562,18.117717301723967,-0.975877609806896,2.140625
100,0.01,0.8,2,1,3,8,1,751.0747134379602,65.65495695119185,-0.912585318375766,2.109375
100,0.01,0.8,2,0.9,1,3,1,751.0747134379562,40.686122252122225,-0.94582946073915,2.09375
100,0.01,0.8,2,0.8,1,3,1,751.0747134379562,28.052503170852187,-0.962650182905978,2.078125
100,0.01,0.8,2,0.75,1,3,1,751.0747134379562,23.93518694248475,-0.968132082582138,2.078125
100,0.01,0.8,2,0.5,1,3,1,751.0747134379562,12.912238932403906,-0.982808316268165,2.203125
100,0.01,0.7,1.1,1,3,8,1,377.69094310444217,255.86182798113066,-0.322562977343151,2.15625
100,0.01,0.7,1.1,0.9,1,3,1,377.6909431044404,173.65382718900798,-0.540222421640148,2.09375
100,0.01,0.7,1.1,0.8,1,3,1,377.6909431044404,123.62654233344622,-0.672678033216008,2.140625
100,0.01,0.7,1.1,0.75,3,8,1,377.69094310444217,105.77979596310217,-0.719930281902865,2.21875
100,0.01,0.7,1.1,0.5,3,8,1,377.69094310444217,53.873674335164154,-0.857360428364133,2.125
100,0.01,0.7,1.2,1,1,3,1,377.6909431044404,182.46435972630434,-0.516895061802293,2.203125
100,0.01,0.7,1.2,0.9,3,8,1,377.69094310444217,124.67326563002074,-0.669906658059457,2.109375
100,0.01,0.7,1.2,0.8,1,3,1,377.6909431044404,89.45355937843925,-0.763156726388053,2.0625
100,0.01,0.7,1.2,0.75,1,3,1,377.6909431044404,76.87081678632791,-0.796471643840632,2.09375
100,0.01,0.7,1.2,0.5,1,3,1,377.6909431044404,40.15180418296677,-0.893691376730037,2.140625
100,0.01,0.7,1.3,1,1,3,1,377.6909431044404,135.83386762881682,-0.640357095904056,2.0625
100,0.01,0.7,1.3,0.9,1,3,1,377.6909431044404,93.55290326504995,-0.752303027189136,2.109375
100,0.01,0.7,1.3,0.8,3,8,1,377.69094310444217,67.72107675258721,-0.820697112311055,2.0625
100,0.01,0.7,1.3,0.75,3,8,1,377.69094310444217,58.47138068895113,-0.845187231103971,2.171875
100,0.01,0.7,1.3,0.5,3,8,1,377.69094310444217,31.35246066026817,-0.916989111778626,2.09375
100,0.01,0.7,1.5,1,3,8,1,377.69094310444217,83.44157608660663,-0.779074458601638,2.15625
